SeriesID,SeriesName,Source,definition,Notes,Currency,UoM,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DEXP,Exports of G&S (% real change pa),Derived from INSEE,"Percentage change in real exports of goods and services, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,4.958,-1.18,4.852,6.872,2.193,-1.049,2.808,8.299,9.936,4.265,6.139,5.812,0.356,8.234,9.036,4.248,12.938,8.818,4.828,13.285,3.237,1.937,-0.957,4.835,4.109,6.261,2.883,0.014,-10.6,8.308,6.608,3.144,2.07,3.275,4.444,1.743,4.626,4.604,1.5,-16.12,8.7,5.8,4.7,4,3.7,3.1,2.7,2.4,2.2,2.1,2,2.1,2.1,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.7,2.7,2.6,2.5,2.4,2.2,1.9,1.7,1.3,0.9
DEXP,Exports of G&S (% real change pa),Derived from INDS; EuroStat,"Percentage change in real exports of goods and services, over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,-1.6,4.4,7.4,3.8,2.1,3.2,5.5,9,6.4,-1,6.8,8.8,10.3,13,1.3,5.208,2.442,-1.31,12.895,2.296,-2.496,-1.573,5.413,4.097,8.638,5.566,-3.437,-17.596,11.264,6.288,1.733,0.599,2.329,4.131,1.928,6.064,1.61,1.891,-14.506,11.2,6.5,3.7,3.1,2.5,1.9,1.5,1.2,0.9,0.8,0.7,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.5,1.4,1.1,0.8,0.4,0
DEXP,Exports of G&S (% real change pa),Derived from Office for National Statistics,"Percentage change in real exports of goods and services, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-0.698,0.821,1.723,6.423,5.589,3.949,6.228,0.862,4.608,5.229,-0.159,4.323,4.26,8.893,9.089,7.098,12.295,2.652,2.8,8.932,2.188,1.081,2.329,4.657,7.894,12.722,-2.013,0.392,-8.388,5.823,7.224,0.641,0.855,0.236,2.799,2.741,5.408,3.03,2.658,-16.413,3.3,11.2,2.1,2.5,2.8,3.2,3.4,3.6,3.7,3.7,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.9,3,3.1,3.3,3.5
DIMP,Imports of G&S (% real change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real imports of goods and services, over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Seasonally and Working-day adjusted,,,na,na,na,na,na,na,na,na,na,na,na,-2.9,-1.1,2.5,5.9,4.5,3,4.3,4.8,9,11.8,12.8,2.279,-6.719,8.259,7.216,4.248,9.296,8.919,8.606,11.277,1.16,-2.577,5.604,6.918,6.212,11.511,6.484,1.864,-9.727,12.647,7.453,0.521,2.796,3.869,5.364,4.397,5.779,3.775,2.567,-9.031,6.9,5.1,3.4,3.5,3.5,3.1,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.5,2.4,2.2,2,1.8,1.6,1.3
DIMP,Imports of G&S (% real change pa),Derived from INSEE,"Percentage change in real imports of goods and services, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-1.269,3.479,-2.564,3.569,4.811,6.475,7.716,8.312,8.495,4.997,2.703,1.577,-3.344,9.05,7.764,2.304,7.99,11.923,6.438,16.116,2.39,1.922,0.904,5.555,6.498,6.036,5.709,0.991,-9.206,8.555,6.062,0.341,2.518,4.905,5.724,2.892,4.69,3.056,2.388,-12.167,8.3,6.2,3.6,3.6,3,3,3,2.9,2.8,2.8,2.6,2.5,2.4,2.3,2.2,2.1,2,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2
DIMP,Imports of G&S (% real change pa),Derived from INDS; EuroStat,"Percentage change in real imports of goods and services, over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,-0.3,-2.5,12.6,4.5,5.9,11.1,6.3,8.9,9.2,1.1,6.6,-11.3,8.7,10,-0.7,10.521,8.796,4.265,11.921,2.062,0.758,0.618,4.043,4.146,8.37,4.868,-4.214,-13.001,11.827,1.18,-8.246,-2.649,3.351,6.286,4.149,6.579,2.84,-0.472,-13.142,12.7,8.1,3.6,2.6,2.2,1.9,1.7,1.5,1.3,1.2,1.1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9
DIMP,Imports of G&S (% real change pa),Derived from Office for National Statistics,"Percentage change in real imports of goods and services, over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-2.875,4.52,6.147,9.445,2.328,6.653,7.733,12.356,7.111,0.401,-4.51,6.553,3.072,5.722,5.276,9.191,9.726,7.505,7.188,9.412,6.156,5.27,1.866,6.22,6.91,10.326,-3.124,-2.355,-8.009,7.921,1.632,1.953,3.077,3.349,5.412,3.947,2.648,2.72,2.734,-17.813,7.2,10.2,3,2.8,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3,3,3,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9
DDMD,Domestic demand (% real change pa),Statistical Office of the European Communities;Deutsche Bundesbank  ,"Percentage change in real total domestic expenditure (including stockbuilding), over previous year.",Data prior to 1991 are for west Germany (incl west Berlin) only. Seasonally and Working-day adjusted,,,na,na,na,na,na,na,na,na,na,na,na,0.5,-3,3.4,5.3,4.9,6.3,4.2,6.6,7.5,10.3,6.3,2.323,-1.15,2.488,1.67,0.461,1.095,2.162,2.628,2.232,0.311,-2.356,0.304,-0.763,0.304,3.104,1.734,0.875,-3.327,3.101,3.364,-0.846,1.205,1.722,1.175,3.022,2.868,1.779,1.27,-4.336,2.5,4.5,2.3,1.9,2,1.6,1.4,1.2,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.9,1.8,1.7,1.6,1.4,1.1,0.8,0.4,-0.1
DDMD,Domestic demand (% real change pa),Derived from INSEE,"Percentage change in real total domestic expenditure (including stockbuilding), over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,0.3,3,0.3,1.2,2,3.3,3.3,4.6,4.3,3.2,0.4,0.8,-1.2,2.4,2,1,1.2,4.1,3.6,4.6,1.8,1.1,1.3,2.7,2.3,2.6,3.2,0.4,-2.4,2,2.1,-0.4,0.8,1.5,1.5,1.4,2.5,1.384,2.126,-6.81,5.6,4.1,1.8,1.6,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,0.9,0.9,0.8,0.7,0.7,0.5
DDMD,Domestic demand (% real change pa),Derived from INDS; EuroStat,"Percentage change in real total domestic expenditure (including stockbuilding), over previous year.",Seasonally adjusted,,,na,na,na,na,na,na,na,na,na,na,na,na,0.5,0.4,3.4,2.7,3.2,4.2,4.8,3.2,2.4,2.2,0.8,-4.5,1,2,0.8,2.744,3.02,2.828,3.677,1.796,1.073,0.717,0.91,1.031,1.78,1.202,-1.165,-4.044,1.812,-0.35,-5.698,-2.801,0.28,1.147,2.001,1.747,1.161,-0.464,-8.386,6.4,4.8,1.9,1.6,1.1,0.8,0.6,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0,-0.2,-0.5,-0.8
DDMD,Domestic demand (% real change pa),Derived from Office for National Statistics,"Percentage change in real total domestic expenditure (including stockbuilding), over previous year.",,,,na,na,na,na,na,na,na,na,na,na,na,-1.023,2.602,5.3,2.848,3.139,3.582,5.542,8.301,2.857,-0.691,-2.026,1.336,2.307,3.616,1.204,2.665,2.84,4.895,3.964,4.003,3.352,3.214,3.235,2.846,3.247,1.911,2.241,-1.129,-4.476,2.929,-0.051,2.028,2.642,3.056,2.984,3.019,1.587,0.464,1.648,-10.525,7.4,5.3,1.9,1.8,1.9,1.9,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2,1.9,1.8,1.7,1.5,1.3,1.1
GDPD,Nominal GDP (US$),"Derived from Deutsche Bundesbank, European Central Bank",Gross domestic product (GDP) at current market prices in US$.  Derived from GDP at current market price and period-average exchange rate,Seasonally and Working-day adjusted.,$,bn,na,na,na,na,na,na,na,na,na,na,1133.7,954.87,872.27,826.57,768.04,777.41,1056.7,1272.1,1372.4,1367.8,1722.9,1973.4,2205.2,2050.4,2173.3,2479.3,2440.4,2227.3,2254.8,2192,1948.8,1948.2,2080.3,2504.7,2803.8,2844,2995.5,3430.3,3739.4,3404.5,3394.7,3742.9,3530.7,3739.8,3895.7,3354.5,3462.4,3693.9,3984.4,3895.3,3835,4231,4420,4496,4752,5069,5275,5479,5681,5884,6088,6295,6509,6733,6972,7223,7481,7750,8032,8325,8637,8958,9287,9622,9960,10299,10635,10963,11279,11576,11848
GDPD,Nominal GDP (US$),Derived from INSEE; European Central Bank,Gross domestic product (GDP) at current market prices in US$.  Derived from GDP at current market prices and period-average exchange rate (line rf in the IFS).,09-05-2019 05:12,$,bn,na,na,na,na,na,na,na,na,na,na,628.22,569.65,573.91,578.35,558.83,576.23,798.4,984.49,1090.6,1097.2,1338.9,1354.6,1465.9,1338.8,1401.5,1594.5,1589.9,1466.5,1515.1,1493.3,1367,1378.7,1501.1,1845.5,2115.3,2195.7,2322.3,2662.6,2927.8,2698.5,2645.1,2863.3,2685.7,2813.3,2858.6,2439.4,2470.5,2596.2,2793.7,2730.4,2625.7,2932,3028,3093,3278,3508,3643,3772,3897,4020,4142,4268,4398,4533,4676,4828,4985,5149,5321,5501,5698,5901,6111,6324,6539,6753,6962,7162,7348,7514,7656
GDPD,Nominal GDP (US$),"INDS; IMF, International Financial Statistics",Gross domestic product (GDP) at current market prices in US$.  Derived from GDP at current market prices and period-average exchange rate (line rf in the IFS).,,$,bn,na,na,na,na,na,na,na,na,na,na,299.89,288.1,298.29,316.1,319.89,346.95,495.58,634.76,724.14,740.98,928.5,988.2,1085.9,1011,1085.3,1295,1327.4,1240.1,1275.1,1252.2,1148.7,1167.6,1275.4,1577.9,1803.1,1859.8,1951.9,2212.9,2407.8,2196,2135.6,2295.3,2088.2,2141.4,2163.6,1835.6,1877.3,1963.3,2092.9,2004.8,1883.4,2114,2189,2217,2343,2488,2561,2626,2686,2741,2799,2858,2922,2993,3068,3151,3252,3366,3493,3631,3760,3894,4037,4182,4324,4460,4590,4711,4819,4908,4967
